num;include_pft_ag;include_pft;SLA;b1Bl;b2Bl;b1Bs;b2Bs;b1Ht;b2Ht;Vm0;phenology;q;clumping;leaf_width;hgt_min;plant_min_temp;mort3;nonlocal_dispersal;seed_rain;stomatal_slope;growth_resp_factor;r_fract;repro_min_h;treefall_gt;treefall_lt;dark_respiration_factor;qsw;c2n_leaf;c2n_recruit;max_dbh;rho;D0;mort1;mort2;Vm_low_temp;cuticular_cond;quantum_efficiency;photosyn_pathway;leaf_turnover_rate;root_turnover_rate;storage_turnover_rate;root_respiration_factor;seedling_mortality;water_conductance;leaf_scatter_vis;diffuse_backscatter_vis;emis_v;f_labile
1;1;1;27.2345962524;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;12.5000000000;1;1.0000000000;1.00000000000000000000;0.2000000030;0.8000000119;273.1499938965;0.0616700016;1.0000000000;0.0099999998;10.0000000000;0.3330000043;1.0000000000;0.0000000000;0.0000000000;0.2500000000;0.0399999991;0.0069832299;21.2087688446;25.7218894958;0.4979999959;0.4000000060;0.0099999998;10.0000000000;20.0000000000;5.0000000000;10000.0000000000;0.0599999987;4;2.0000000000;2.0000000000;0.0000000000;0.5279999971;0.9499999881;0.0019039999;0.0900000036;0.3555555344;0.95999999999999996447;1.0000000000
2;0;1;21.6586074829;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;18.7999992371;1;1.0000000000;0.73499999999999998668;0.2000000030;0.8000000119;273.1499938965;0.0616700016;1.0000000000;0.0099999998;8.0000000000;0.3330000043;0.3000000119;5.0000000000;0.0000000000;0.1000000015;0.0199999996;0.0055534891;18.1281356812;22.1003913879;68.3099975586;0.4000000060;0.0099999998;10.0000000000;20.0000000000;5.0000000000;10000.0000000000;0.0799999982;3;1.0000000000;1.0000000000;0.0000000000;0.5279999971;0.9499999881;0.0019039999;0.0900000036;0.3555555344;0.94999999999999995559;1.0000000000
3;0;1;17.2242431641;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;12.5000000000;1;1.0000000000;0.73499999999999998668;0.2000000030;0.8000000119;273.1499938965;0.0316700004;1.0000000000;0.0099999998;8.0000000000;0.3330000043;0.3000000119;5.0000000000;0.0000000000;0.1000000015;0.0199999996;0.0044164727;33.5348434448;40.8037109375;68.3099975586;0.6000000238;0.0099999998;10.0000000000;20.0000000000;5.0000000000;10000.0000000000;0.0799999982;3;0.5000000000;0.5000000000;0.0000000000;0.5279999971;0.9499999881;0.0019039999;0.0900000036;0.3555555344;0.94999999999999995559;1.0000000000
4;0;1;15.0590744019;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;6.2500000000;1;1.0000000000;0.73499999999999998668;0.2000000030;0.8000000119;273.1499938965;0.0000000000;1.0000000000;0.0099999998;8.0000000000;0.3330000043;0.3000000119;5.0000000000;0.0000000000;0.1000000015;0.0199999996;0.0038613011;72.0168762207;82.9796447754;68.3099975586;0.8700000048;0.0099999998;10.0000000000;20.0000000000;5.0000000000;10000.0000000000;0.0799999982;3;0.3330000043;0.3330000043;0.0000000000;0.5279999971;0.9499999881;0.0019039999;0.0900000036;0.3555555344;0.94999999999999995559;1.0000000000
5;1;1;22.0000000000;0.0799999982;1.0000000000;0.0000100000;1.0000000000;0.4778000116;-0.7500000000;18.2999992371;1;1.0000000000;0.83999999999999996891;0.0500000007;0.1500000060;193.1499938965;0.0659999996;1.0000000000;0.0099999998;6.3948998451;0.3330000043;1.0000000000;0.0000000000;0.0000000000;0.2500000000;0.0399999991;0.0056410255;18.3122673035;18.3132781982;0.4979999959;0.5299999714;0.0099999998;1.0000000000;20.0000000000;4.7136998177;10000.0000000000;0.0799999982;3;2.0000000000;0.3330000043;0.0000000000;0.5279999971;0.9499999881;0.0047599999;0.2699999809;0.0740740821;0.95999999999999996447;1.0000000000
6;0;1;6.0000000000;0.0240000002;1.8990000486;0.1469999999;2.2379999161;27.1399993896;-0.0388399996;11.3500003815;0;0.3463000059;0.73499999999999998668;0.0500000007;1.5000000000;193.1499938965;0.0033928000;0.7659999728;0.0099999998;6.3948998451;0.4503000081;0.3000000119;5.0000000000;0.0000000000;0.1000000015;0.0199999996;0.0015384615;78.0326232910;124.6847686768;77.7029876709;0.0000000000;0.0099999998;1.0000000000;20.0000000000;4.7136998177;1000.0000000000;0.0799999982;3;0.3330000043;3.9272179604;0.0000000000;0.5279999971;0.9499999881;0.0047599999;0.2699999809;0.0740740821;0.96999999999999997335;0.7900000215
7;0;1;9.0000000000;0.0240000002;1.8990000486;0.1469999999;2.2379999161;27.1399993896;-0.0388399996;11.3500003815;0;0.3463000059;0.73499999999999998668;0.0500000007;1.5000000000;263.1499938965;0.0043000001;0.7659999728;0.0099999998;6.3948998451;0.4503000081;0.3000000119;5.0000000000;0.0000000000;0.1000000015;0.0199999996;0.0023076923;52.0217514038;106.0161056519;77.7029876709;0.0000000000;0.0099999998;1.0000000000;20.0000000000;4.7136998177;1000.0000000000;0.0799999982;3;0.3330000043;4.1178469658;0.0000000000;0.5279999971;0.9499999881;0.0047599999;0.2699999809;0.0740740821;0.96999999999999997335;0.7900000215
8;0;1;10.0000000000;0.0454000011;1.6828999519;0.1616999954;2.1535999775;22.7900009155;-0.0444499999;4.5399999619;0;0.3463000059;0.73499999999999998668;0.0500000007;1.5000000000;213.1499938965;0.0023568000;0.0010000000;0.0099999998;6.3948998451;0.4503000081;0.3000000119;5.0000000000;0.0000000000;0.1000000015;0.0199999996;0.0025641026;108.4507446289;132.0868988037;64.0400543213;0.0000000000;0.0099999998;1.0000000000;20.0000000000;4.7136998177;1000.0000000000;0.0799999982;3;0.3330000043;3.8001320362;0.0000000000;0.5279999971;0.9499999881;0.0047599999;0.2699999809;0.0740740821;0.96999999999999997335;0.7900000215
9;0;1;30.0000000000;0.0129000004;1.7476999760;0.0264800005;2.9595398903;22.6798992157;-0.0653399974;20.3870754242;2;1.1274000406;0.83999999999999996891;0.0500000007;1.5000000000;193.1499938965;0.0061440002;1.0000000000;0.0099999998;6.3948998451;0.0000000000;0.3000000119;5.0000000000;0.0000000000;0.1000000015;0.0199999996;0.0076923077;13.4641094208;17.8949623108;43.4928016663;0.0000000000;0.0099999998;1.0000000000;20.0000000000;4.7136998177;20000.0000000000;0.0799999982;3;0.0000000000;5.7725062370;0.6243000031;0.5279999971;0.9499999881;0.0047599999;0.2699999809;0.0740740821;0.94999999999999995559;0.7900000215
10;0;1;24.2000007629;0.0480000004;1.4550000429;0.1616999954;2.4572000504;25.1800003052;-0.0496399999;17.4546871185;2;1.1274000406;0.83999999999999996891;0.0500000007;1.5000000000;253.1499938965;0.0038079999;0.3249999881;0.0099999998;6.3948998451;0.0000000000;0.3000000119;5.0000000000;0.0000000000;0.1000000015;0.0199999996;0.0062051285;19.3469314575;28.5154876709;59.3171386719;0.0000000000;0.0099999998;1.0000000000;20.0000000000;4.7136998177;20000.0000000000;0.0799999982;3;0.0000000000;5.0837001801;0.6243000031;0.5279999971;0.9499999881;0.0047599999;0.2699999809;0.0740740821;0.94999999999999995559;0.7900000215
11;0;1;60.0000000000;0.0170000009;1.7309999466;0.2349999994;2.2518000603;23.3873996735;-0.0540399998;6.9818749428;2;1.1274000406;0.83999999999999996891;0.0500000007;1.5000000000;253.1499938965;0.0042800000;0.0740000010;0.0099999998;6.3948998451;0.0000000000;0.3000000119;5.0000000000;0.0000000000;0.1000000015;0.0199999996;0.0153846154;18.0751247406;56.3194046021;53.1458663940;0.0000000000;0.0099999998;1.0000000000;20.0000000000;4.7136998177;20000.0000000000;0.0799999982;3;0.0000000000;5.0709919930;0.6243000031;0.5279999971;0.9499999881;0.0047599999;0.2699999809;0.0740740821;0.94999999999999995559;0.7900000215
12;1;1;22.0000000000;0.0799999982;1.0000000000;0.0000100000;1.0000000000;0.4778000116;-0.7500000000;18.2999992371;1;1.0000000000;0.83999999999999996891;0.0500000007;0.1500000060;193.1499938965;0.0659999996;1.0000000000;0.0099999998;6.3948998451;0.3330000043;1.0000000000;0.0000000000;0.0000000000;0.2500000000;0.0399999991;0.0056410255;18.3122673035;18.3132781982;0.4979999959;0.5299999714;0.0099999998;1.0000000000;20.0000000000;4.7136998177;10000.0000000000;0.0799999982;3;2.0000000000;0.3330000043;0.0000000000;0.5279999971;0.9499999881;0.0047599999;0.2699999809;0.0740740821;0.95999999999999996447;1.0000000000
13;1;1;22.0000000000;0.0799999982;1.0000000000;0.0000100000;1.0000000000;0.4778000116;-0.7500000000;18.2999992371;1;1.0000000000;0.83999999999999996891;0.0500000007;0.1500000060;193.1499938965;0.0659999996;1.0000000000;0.0099999998;6.3948998451;0.3330000043;1.0000000000;0.0000000000;0.0000000000;0.2500000000;0.0399999991;0.0056410255;18.3122673035;18.3132781982;0.4979999959;0.5299999714;0.0099999998;1.0000000000;20.0000000000;4.7136998177;10000.0000000000;0.0799999982;3;2.0000000000;0.3330000043;0.0000000000;0.5279999971;0.9499999881;0.0047599999;0.2699999809;0.0740740821;0.95999999999999996447;1.0000000000
14;1;1;27.2345962524;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;12.5000000000;1;1.0000000000;1.00000000000000000000;0.2000000030;0.8000000119;273.1499938965;0.0370000005;1.0000000000;0.0099999998;10.0000000000;0.3330000043;1.0000000000;0.0000000000;0.0000000000;0.2500000000;0.0399999991;0.0069832299;21.2087688446;26.1872158051;0.4979999959;0.5299999714;0.0099999998;10.0000000000;20.0000000000;5.0000000000;10000.0000000000;0.0599999987;4;2.0000000000;2.0000000000;0.0000000000;0.5279999971;0.9499999881;0.0019039999;0.0900000036;0.3555555344;0.95999999999999996447;1.0000000000
15;1;1;22.4669990540;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;36.5961418152;2;0.7422149181;1.00000000000000000000;3.2899999619;2.0000000000;-100.0000000000;0.0370000005;0.2140000015;0.0099999998;3.4500000477;0.2561094761;0.2468371987;0.0000000000;0.0000000000;0.2500000000;0.0149999997;0.0000000000;21.2087688446;26.1872158051;0.7799999714;0.5299999714;0.0099999998;1.0000000000;27.8999996185;10.0000000000;10000.0000000000;0.0560000017;4;5.7870283127;0.5400000215;0.0000000000;0.5279999971;0.9700000286;0.0019039999;0.0900000036;0.3555555344;0.95999999999999996447;1.0000000000
