CF_standard_name,units,bety,isimip,cruncep,NARR,Ameriflux,
air_temperature,K,airT,tasAdjust,tair,air,TA (C),
air_temperature_max,K,,tasmaxAdjust,NA,tmax,,
air_temperature_min,K,,tasminAdjust,NA,tmin,,
air_pressure,Pa,air_pressure,,,,PRESS (KPa),
mole_fraction_of_carbon_dioxide_in_air,mol/mol,,,,,CO2,
moisture_content_of_soil_layer,kg m-2,,,,,,
soil_temperature,K,soilT,,,,TS1Ê(NOT DONE),
relative_humidity,%,relative_humidity,rhurs,NA,rhum,RH,
specific_humidity,1,specific_humidity,NA,qair,shum,CALC(RH),
water_vapor_saturation_deficit,Pa,VPD,,,,VPDÊ(NOT DONE),
surface_downwelling_longwave_flux_in_air,W m-2,same,rldsAdjust,lwdown,dlwrf,Rgl,
surface_downwelling_shortwave_flux_in_air,W m-2,solar_radiation,rsdsAdjust,swdown,dswrf,Rg,
surface_downwelling_photosynthetic_photon_flux_in_air,mol m-2 s-1,PAR,,,,PARÊ(NOT DONE),
precipitation_flux,kg m-2 s-1,cccc,prAdjust,rain,acpc,PREC (mm/s),
,degrees,wind_direction,,,,WD,
wind_speed,m/s,Wspd,,,,WS,
eastward_wind,m/s,eastward_wind,,,,CALC(WS+WD),
northward_wind,m/s,northward_wind,,,,CALC(WS+WD),