scnid	scndate	scnUTMzone	scnpix	scncf	scn_pix2coord_a11	scn_pix2coord_a12	scn_pix2coord_a13	scn_pix2coord_a14	scn_pix2coord_a21	scn_pix2coord_a22	scn_pix2coord_a23	scn_pix2coord_a24	scn_coord2pix_b11	scn_coord2pix_b12	scn_coord2pix_b13	scn_coord2pix_b14	scn_coord2pix_b21	scn_coord2pix_b22	scn_coord2pix_b23	scn_coord2pix_b24	scn_coord2pix_a0	scn_coord2pix_a1	scn_coord2pix_a2	scn_coord2pix_a3	scn_coord2pix_a4	scn_coord2pix_a5	scn_coord2pix_a6	scn_coord2pix_a7	scn_coord2pix_a8	scn_coord2pix_a9	scn_coord2pix_b0	scn_coord2pix_b1	scn_coord2pix_b2	scn_coord2pix_b3	scn_coord2pix_b4	scn_coord2pix_b5	scn_coord2pix_b6	scn_coord2pix_b7	scn_coord2pix_b8	scn_coord2pix_b9	scn_nwlat	scn_nwlon	scn_nelat	scn_nelon	scn_swlat	scn_swlon	scn_selat	scn_selon	scn_centlat	scn_centlon
ALPSRP069450910	20070515 04:22:37.625	15	12.5	-83	-90.786785	2.9e-05	0.00016	0	46.232874	-0.000111	2e-05	0	516539.56699	1230.603824	-9054.574236	-3.288274	957145.38832	11361.668048	-8770.104985	-114.313296	839386.20899	-3499.3361413	9690.3697942	-86.998855139	-80.604354851	-18.334449275	-0.7542372229	-0.2599333132	0.0732440888	-0.141454913	243382.9492	-9716.9378133	-5622.7916763	-8.0543927951	-8.4792422897	-44.02173192	-0.0814570877	0.0412379877	-6.8383e-06	-0.0147243443	46.231	-90.783	46.338	-89.894	45.717	-90.649	45.824	-89.767	46.028	-90.273
ALPSRP071200910	20070527 04:18:21.011	16	12.5	-83	-89.721061	2.9e-05	0.00016	0	46.232755	-0.000111	2e-05	0	487357.80249	919.056055	-8445.733986	3.478636	939742.67727	11302.272511	-8535.538137	-113.048406	770271.68671	-3069.468773	7969.5209395	-61.71743415	-68.774041153	-29.267569935	-0.7236568588	-0.0996070291	0.0462629283	-0.1481306559	205112.02144	-8130.1526518	-5891.8762379	9.2920542599	-20.351336276	-41.529715821	-0.2131634828	0.0352859045	0.0071483488	-0.0052290793	46.23	-89.718	46.338	-88.828	45.717	-89.583	45.824	-88.702	46.028	-89.208
ALPSRP076160910	20070630 04:22:34.647	15	12.5	-83	-90.785933	2.9e-05	0.00016	0	46.237448	-0.000111	2e-05	0	516594.95212	1230.81541	-9054.526674	-3.288455	957149.86099	11362.114456	-8770.531092	-114.323594	839395.60076	-3499.1646554	9691.5591913	-87.009283208	-80.606211177	-18.326640222	-0.754229806	-0.2599864828	0.0732557478	-0.1414476039	243392.4627	-9715.6352526	-5624.0779291	-8.021692731	-8.4796895537	-44.033715055	-0.0814607808	0.0414528266	-6.6373e-06	-0.0147335965	46.234	-90.782	46.342	-89.893	45.722	-90.648	45.83	-89.767	46.033	-90.273
ALPSRP082870910	20070815 04:22:29.031	15	12.5	-83	-90.787992	2.9e-05	0.00016	0	46.229566	-0.000111	2e-05	0	516509.02394	1230.569736	-9054.475132	-3.287132	957137.19741	11361.338372	-8769.672471	-114.306368	839378.08558	-3499.1987146	9689.6630125	-86.990967502	-80.60444934	-18.338529428	-0.7542532047	-0.2598998188	0.0732401035	-0.1414571925	243390.11719	-9717.7286036	-5621.66636	-8.0770931631	-8.4826738968	-44.012729532	-0.0814940231	0.0410796662	-6.0765e-06	-0.0147175487	46.227	-90.785	46.335	-89.895	45.714	-90.65	45.821	-89.768	46.025	-90.275
ALPSRP084620910	20070827 04:18:08.539	16	12.5	-83	-89.715895	2.9e-05	0.00016	0	46.23396	-0.000111	2e-05	0	487382.44742	919.260098	-8446.436736	3.471133	939701.95352	11302.407985	-8535.353578	-113.051063	770291.01195	-3069.6845092	7971.4571613	-61.740570422	-68.779871812	-29.254819609	-0.7236753453	-0.0997573444	0.046284409	-0.1481240151	205165.04469	-8131.4107406	-5891.6740194	9.2829684414	-20.335937062	-41.534818366	-0.213004471	0.0353445813	0.0071389486	-0.0052403176	46.232	-89.713	46.34	-88.822	45.718	-89.578	45.826	-88.696	46.029	-89.202
ALPSRP123130910	20080517 04:19:29.710	15	12.5	-83	-90.748343	2.9e-05	0.00016	0	46.234443	-0.000111	2e-05	0	516340.51996	1228.048928	-9061.185291	-3.346699	957123.38102	11362.429662	-8772.722994	-114.307589	839496.1452	-3507.2487041	9693.8436233	-87.096142117	-80.588416647	-18.325615926	-0.7540385097	-0.2603886904	0.0731992421	-0.1415039733	243207.04275	-9727.3581736	-5626.7422647	-8.1387682753	-8.3097588107	-44.047150718	-0.0796736282	0.0414547221	-5.85653e-05	-0.0147668056	46.231	-90.745	46.338	-89.855	45.719	-90.611	45.826	-89.73	46.03	-90.235
ALPSRP136550910	20080817 04:19:36.765	15	12.5	-83	-90.851139	2.9e-05	0.00016	0	46.22693	-0.000111	2e-05	0	516817.08312	1234.533651	-9043.653631	-3.19114	957188.18271	11360.077562	-8765.624891	-114.314788	839196.14402	-3486.5602711	9683.3988973	-86.827446093	-80.627297736	-18.357444091	-0.7545597828	-0.2591162154	0.0733020435	-0.1413814182	243648.07694	-9700.5287106	-5615.5351193	-7.9369028218	-8.7585297807	-43.970551029	-0.0843941795	0.0407247189	7.97348e-05	-0.0146447673	46.225	-90.848	46.333	-89.958	45.711	-90.712	45.819	-89.831	46.023	-90.337
ALPSRP143260910	20081002 04:20:31.994	15	12.5	-83	-90.837227	2.9e-05	0.00016	0	46.2338	-0.000111	2e-05	0	516860.61348	1234.397084	-9045.628264	-3.210277	957158.9257	11360.961961	-8766.625125	-114.32912	839247.31974	-3488.2871263	9687.2225765	-86.881306407	-80.630583161	-18.335672038	-0.7545186493	-0.2594075888	0.0733244576	-0.1413795147	243662.32698	-9702.2902576	-5617.8974762	-7.9226939003	-8.7087416144	-43.995794697	-0.0838695606	0.041089181	6.34407e-05	-0.0146755157	46.232	-90.834	46.341	-89.944	45.717	-90.698	45.826	-89.817	46.03	-90.323
ALPSRP185270910	20090717 04:19:37.125	16	12.5	-83	-89.730126	2.9e-05	0.00016	0	46.239354	-0.000111	2e-05	0	487517.13886	920.358885	-8443.762653	3.494546	939733.81113	11302.785691	-8535.070516	-113.067146	770279.25258	-3067.5602112	7971.312907	-61.726141983	-68.779736359	-29.254061617	-0.7236613329	-0.0996497095	0.046306063	-0.1481132764	205203.81264	-8125.2277813	-5892.5182912	9.3663187856	-20.405666412	-41.542602758	-0.213727986	0.0355664163	0.0071815428	-0.0052328719	46.236	-89.726	46.345	-88.837	45.723	-89.592	45.832	-88.711	46.035	-89.217
ALPSRP190230910	20090820 04:24:05.569	15	12.5	-83	-90.80847	2.9e-05	0.00016	0	46.234113	-0.000111	2e-05	0	516667.2567	1232.010569	-9050.805509	-3.254941	957170.84447	11361.43508	-8768.977797	-114.320692	839326.74579	-3494.9691309	9688.5378595	-86.94528916	-80.612051032	-18.339003948	-0.7543338646	-0.2596717649	0.0732673417	-0.1414268054	243465.86058	-9710.2935069	-5621.4034666	-7.989390013	-8.5746908737	-44.012677656	-0.0824603615	0.0412159926	2.29738e-05	-0.0147028882	46.232	-90.805	46.34	-89.915	45.718	-90.67	45.826	-89.788	46.03	-90.295
ALPSRP191980910	20090901 04:19:50.398	16	12.5	-83	-89.71762	2.9e-05	0.00016	0	46.235213	-0.000111	2e-05	0	487507.62972	920.741851	-8445.49561	3.476659	939606.6891	11302.46672	-8533.706035	-113.058977	770303.8959	-3067.7276626	7974.9127944	-61.769490272	-68.796196247	-29.229320191	-0.7237464947	-0.0999752454	0.046357954	-0.1481032328	205361.83664	-8130.7016981	-5889.5160159	9.2889412219	-20.366028012	-41.536642427	-0.2133245435	0.0353802333	0.0071543938	-0.0052465769	46.233	-89.714	46.341	-88.825	45.719	-89.579	45.827	-88.698	46.031	-89.204
ALPSRP230490910	20100523 04:23:18.620	15	12.5	-83	-90.765695	2.9e-05	0.00016	0	46.240443	-0.000111	2e-05	0	516465.39037	1228.91746	-9058.182211	-3.3196	957187.01274	11362.698478	-8772.834484	-114.322304	839454.10125	-3504.2723443	9692.2214792	-87.053135227	-80.588965049	-18.331830403	-0.7540647002	-0.2601388248	0.0732041767	-0.1414839523	243208.14027	-9720.2296048	-5627.9524611	-8.0447507585	-8.3826826	-44.052518631	-0.0804391306	0.0416745541	-3.44267e-05	-0.0147550402	46.238	-90.762	46.347	-89.873	45.723	-90.627	45.831	-89.747	46.036	-90.252
ALPSRP232240910	20100604 04:18:53.696	16	12.5	-83	-89.689392	2.9e-05	0.00016	0	46.239961	-0.000111	2e-05	0	487320.04615	917.87194	-8451.150431	3.427779	939676.63405	11303.163135	-8537.454872	-113.055781	770366.84013	-3073.9269528	7975.2197936	-61.805341956	-68.779781403	-29.234828332	-0.7236321455	-0.1001146166	0.0462659739	-0.1481249503	205084.71814	-8137.4632544	-5895.0534974	9.2512205271	-20.218081196	-41.561603317	-0.2117706824	0.0356727923	0.0070725192	-0.0052859914	46.238	-89.686	46.347	-88.797	45.722	-89.551	45.83	-88.67	46.035	-89.176
ALPSRP237200910	20100708 04:22:50.693	15	12.5	-83	-90.765756	2.9e-05	0.00016	0	46.238414	-0.000111	2e-05	0	516457.47873	1229.037516	-9058.1668	-3.319694	957168.79754	11362.513113	-8772.40653	-114.318784	839451.76113	-3504.0328227	9692.3058076	-87.053223651	-80.591428693	-18.330596378	-0.7540867054	-0.2601562935	0.0732103974	-0.1414826598	243236.34945	-9720.9563499	-5626.9902685	-8.0617842523	-8.3844373815	-44.047425835	-0.080458123	0.0415777372	-3.44918e-05	-0.0147531104	46.236	-90.762	46.344	-89.873	45.721	-90.628	45.829	-89.747	46.034	-90.252
ALPSRP243910910	20100823 04:22:18.769	15	12.5	-83	-90.758441	2.9e-05	0.00016	0	46.236348	-0.000111	2e-05	0	516433.53966	1228.987072	-9059.301842	-3.330627	957122.89988	11362.452754	-8772.079454	-114.31501	839471.35485	-3504.7810945	9693.8214471	-87.076917746	-80.595627255	-18.321478452	-0.7541005605	-0.2603114188	0.0732239588	-0.1414839493	243278.71117	-9723.8721738	-5626.0850691	-8.0999140098	-8.3582444046	-44.046322236	-0.0801835302	0.0415035415	-4.41329e-05	-0.0147608844	46.235	-90.755	46.342	-89.866	45.719	-90.62	45.827	-89.739	46.032	-90.245
ALPSRP245660910	20100904 04:17:51.756	16	12.5	-83	-89.683804	2.9e-05	0.00016	0	46.237047	-0.000111	2e-05	0	487286.28927	917.778422	-8452.040412	3.419343	939634.25953	11302.93117	-8537.019907	-113.049071	770372.23917	-3074.2700412	7976.0411171	-61.81738209	-68.784408956	-29.229295711	-0.7236619685	-0.1002123891	0.0462759805	-0.148124936	205123.8572	-8140.2198325	-5893.7868152	9.2100741884	-20.19612267	-41.556234788	-0.2115457525	0.0355441057	0.0070578478	-0.0052886257	46.236	-89.68	46.343	-88.791	45.72	-89.546	45.827	-88.665	46.032	-89.171
ALPSRP248140910	20100921 04:19:46.955	16	12.5	-83	-90.223331	2.9e-05	0.00016	0	46.2368	-0.000111	2e-05	0	484784.87868	883.522887	-8384.707161	4.16826	945564.22206	11301.196886	-8592.033561	-112.985722	768533.70024	-3076.842582	7754.1043841	-59.289252164	-67.945052862	-30.736233636	-0.7201351945	-0.082668418	0.0432404326	-0.1489465345	196828.97205	-7962.0653714	-5987.9715354	11.248502734	-21.611955367	-41.363160186	-0.2258933084	0.0355137938	0.0080236743	-0.0043025755	46.233	-90.22	46.341	-89.33	45.722	-90.086	45.829	-89.205	46.032	-89.71
ALPSRP250620910	20101008 04:21:40.481	15	12.5	-83	-90.753226	2.9e-05	0.00016	0	46.236253	-0.000111	2e-05	0	516402.87508	1228.627301	-9060.209007	-3.338617	957119.22581	11362.527202	-8772.404267	-114.313558	839485.80061	-3505.8755039	9694.226922	-87.089749519	-80.593365459	-18.320757847	-0.7540737903	-0.2603714592	0.0732173914	-0.1414913657	243254.7142	-9725.3841263	-5626.526588	-8.1136182641	-8.3350705839	-44.048923821	-0.0799399689	0.0415190782	-5.13793e-05	-0.0147657741	46.234	-90.75	46.342	-89.86	45.719	-90.615	45.827	-89.734	46.032	-90.24
ALPSRP254850910	20101106 04:19:06.005	16	12.5	-83	-90.224662	2.9e-05	0.00016	0	46.236469	-0.000111	2e-05	0	484733.17742	882.887409	-8384.794549	4.168993	945619.41394	11301.184329	-8592.825288	-112.983061	768521.51189	-3077.4974783	7752.1125781	-59.269736527	-67.936498202	-30.750261706	-0.7200997194	-0.0825294004	0.0432037412	-0.1489558372	196729.85819	-7961.6357789	-5989.0961901	11.254556972	-21.606476222	-41.362115172	-0.2258328199	0.0355065801	0.008021476	-0.0042971314	46.233	-90.221	46.341	-89.331	45.721	-90.087	45.829	-89.206	46.032	-89.712
ALPSRP257330910	20101123 04:20:56.721	15	12.5	-83	-90.753601	2.9e-05	0.00016	0	46.233709	-0.000111	2e-05	0	516348.89849	1228.214481	-9060.363922	-3.339046	957136.24866	11362.271394	-8772.491425	-114.306443	839479.72706	-3506.446411	9692.8647669	-87.079180581	-80.588147701	-18.330625109	-0.7540534461	-0.2602966495	0.0731960623	-0.1415010278	243207.47577	-9726.0728774	-5626.340073	-8.1300975927	-8.3302512531	-44.042364968	-0.0798893172	0.0414026521	-5.19177e-05	-0.0147589782	46.23	-90.75	46.338	-89.86	45.719	-90.616	45.826	-89.735	46.029	-90.24
ALPSRP259080910	20101205 04:16:26.705	16	12.5	-83	-89.680447	2.9e-05	0.00016	0	46.234747	-0.000111	2e-05	0	487211.1858	917.071191	-8452.869099	3.413017	939655.20408	11302.761411	-8537.498303	-113.041651	770367.78023	-3075.2755457	7974.8312467	-61.809429512	-68.779452753	-29.238353688	-0.7236466204	-0.1001589995	0.0462479419	-0.1481344171	205056.47963	-8141.9470789	-5894.0151423	9.1852475651	-20.17248685	-41.551916095	-0.2112986345	0.0354502385	0.0070439992	-0.0052863434	46.231	-89.677	46.339	-88.787	45.72	-89.543	45.827	-88.662	46.03	-89.167
