spp,curve,rep,year,month,Ci_Pa,PARi,Photo
Sunflower,aci,1,2010,6,29.207479,1509.432495,27.72258982
Sunflower,aci,1,2010,6,22.32834899,1508.293213,19.72631169
Sunflower,aci,1,2010,6,15.43525009,1505.785767,11.31453886
Sunflower,aci,1,2010,6,10.41525883,1511.814087,5.075693747
Sunflower,aci,1,2010,6,7.220940247,1513.846558,0.504411198
Sunflower,aci,1,2010,6,5.597770317,1511.256714,-1.644707074
Sunflower,aci,1,2010,6,4.629477229,1511.782349,-2.93861585
Sunflower,aci,1,2010,6,29.6985504,1506.960571,26.83929706
Sunflower,aci,1,2010,6,44.77840243,1505.378052,38.86209576
Sunflower,aci,1,2010,6,59.96338052,1510.530029,43.6020334
Sunflower,aci,1,2010,6,80.30306895,1511.340576,45.09445955
Sunflower,aci,2,2010,6,33.03460521,1476.31311,22.0824612
Sunflower,aci,2,2010,6,24.74376485,1471.697266,15.70036303
Sunflower,aci,2,2010,6,16.82175951,1474.064087,9.138318067
Sunflower,aci,2,2010,6,11.22404455,1472.285889,3.823116692
Sunflower,aci,2,2010,6,7.432056974,1470.909912,-0.112825723
Sunflower,aci,2,2010,6,5.588313222,1470.149902,-1.936030172
Sunflower,aci,2,2010,6,4.22478227,1473.591675,-2.448015258
Sunflower,aci,2,2010,6,32.48566568,1479.042725,21.49414579
Sunflower,aci,2,2010,6,49.07808815,1477.836914,29.3769056
Sunflower,aci,2,2010,6,69.76632707,1480.594116,32.67796998
Sunflower,aci,2,2010,6,88.33038036,1475.704346,33.78550586
Sunflower,aci,3,2010,7,21.72574497,1520.757568,14.6537824
Sunflower,aci,3,2010,7,16.72770068,1519.126343,10.402564
Sunflower,aci,3,2010,7,12.4331406,1518.105591,6.451215
Sunflower,aci,3,2010,7,8.857678927,1518.123779,2.690199228
Sunflower,aci,3,2010,7,6.434651509,1518.747437,0.778194294
Sunflower,aci,3,2010,7,5.345064196,1519.018799,-0.345428582
Sunflower,aci,3,2010,7,4.674339902,1518.991699,-0.641487832
Sunflower,aci,3,2010,7,22.11362062,1518.999634,16.21459939
Sunflower,aci,3,2010,7,34.5665874,1518.719971,23.86919237
Sunflower,aci,3,2010,7,51.21819091,1519.462524,27.93745477
Sunflower,aci,3,2010,7,71.29362682,1519.880005,28.49223655
Sunflower,aq,3,2010,7,31.46813925,206.0611267,7.570154804
Sunflower,aq,3,2010,7,33.43726462,152.8815613,5.696142526
Sunflower,aq,3,2010,7,35.41460061,103.7875671,3.894407522
Sunflower,aq,3,2010,7,37.87492004,45.35299683,1.568332874
Sunflower,aq,3,2010,7,40.61553036,2.089069605,-1.017945258
Sunflower,aci,4,2010,7,25.15125148,1490.973877,20.72861677
Sunflower,aci,4,2010,7,18.83838753,1487.636841,16.02421698
Sunflower,aci,4,2010,7,13.13100911,1487.068848,10.06933525
Sunflower,aci,4,2010,7,8.935961413,1487.752075,5.189049749
Sunflower,aci,4,2010,7,6.255145606,1488.395142,1.83265358
Sunflower,aci,4,2010,7,4.977852423,1489.031616,-0.25793775
Sunflower,aci,4,2010,7,4.473275524,1488.968506,-0.826765764
Sunflower,aci,4,2010,7,27.81822707,1488.618408,19.73045684
Sunflower,aci,4,2010,7,44.67859767,1487.454834,24.46998962
Sunflower,aci,4,2010,7,62.38847294,1487.327515,26.30441235
Sunflower,aci,4,2010,7,75.93731709,1488.743408,28.15521416
Sunflower,aq,4,2010,7,30.79027667,196.0817108,6.31932618
Sunflower,aq,4,2010,7,32.15269145,150.6545868,4.973585384
Sunflower,aq,4,2010,7,33.79573942,101.839035,3.423959608
Sunflower,aq,4,2010,7,36.34464019,55.61689377,1.673004506
Sunflower,aq,4,2010,7,41.53787955,-0.669151247,-1.099741832
Sunflower,aci,5,2010,8,25.03043186,1521.147705,21.37358782
Sunflower,aci,5,2010,8,19.02981808,1521.546021,15.95246738
Sunflower,aci,5,2010,8,13.27880869,1521.905518,10.03258678
Sunflower,aci,5,2010,8,9.127373426,1521.191406,5.225426321
Sunflower,aci,5,2010,8,6.339877849,1520.263428,1.759442552
Sunflower,aci,5,2010,8,4.770947709,1519.551514,0.125275891
Sunflower,aci,5,2010,8,4.262980848,1519.355591,-0.597250769
Sunflower,aci,5,2010,8,27.89533076,1520.260498,20.09633883
Sunflower,aci,5,2010,8,44.53939966,1521.155151,25.55913023
Sunflower,aci,5,2010,8,63.52729167,1521.516724,27.34872604
Sunflower,aci,5,2010,8,82.64130005,1521.229736,28.36127162
Sunflower,aq,5,2010,8,34.12390679,206.5057068,7.4657306
Sunflower,aq,5,2010,8,35.47281513,153.1006165,5.415820959
Sunflower,aq,5,2010,8,36.73584686,104.3563385,3.473553719
Sunflower,aq,5,2010,8,38.31011925,45.47260666,1.400137558
Sunflower,aq,5,2010,8,40.94115644,1.895743608,-1.443647291
Sunflower,aci,6,2010,9,21.91201841,1535.346436,16.4564121
Sunflower,aci,6,2010,9,21.41722735,1532.306763,14.7163723
Sunflower,aci,6,2010,9,13.38072622,1530.984375,9.351782067
Sunflower,aci,6,2010,9,8.681620616,1533.505249,4.941609949
Sunflower,aci,6,2010,9,5.906947954,1534.744873,1.925754976
Sunflower,aci,6,2010,9,4.872474402,1535.082275,0.100954805
Sunflower,aci,6,2010,9,3.138626231,1532.957764,-1.190394048
Sunflower,aci,6,2010,9,29.84227017,1530.918823,17.4542152
Sunflower,aci,6,2010,9,46.5216618,1532.397705,20.5925332
Sunflower,aci,6,2010,9,65.10841324,1533.952271,21.88866891
Sunflower,aq,6,2010,9,34.23762123,206.3761444,7.918024194
Sunflower,aq,6,2010,9,35.94361135,156.5294495,6.069412024
Sunflower,aq,6,2010,9,37.00072432,100.9334793,4.133378688
Sunflower,aq,6,2010,9,38.27712672,49.08475113,1.900477862
Sunflower,aq,6,2010,9,40.55616754,-1.082489967,-0.328937024
