"","AcceptedSymbol","scientificname","GrowthHabit","Category"
"1","ACLI8","Acacia ligulata","","Dicot"
"2","ACMA12","Acacia mangium","","Dicot"
"3","ACSA3","Acer saccharum","Tree, Shrub","Dicot"
"4","ADBI","Adenocaulon bicolor","Forb/herb","Dicot"
"5","ALMA11","Alocasia macrorrhizos","Forb/herb","Monocot"
"6","ANOC","Anacardium occidentale","Tree","Dicot"
"7","ARUN4","Arbutus unedo","","Dicot"
"8","AVSA","Avena sativa","Graminoid","Monocot"
"9","AVMA3","Avicennia marina","Tree, Shrub","Dicot"
"10","BEPE3","Betula pendula","Tree","Dicot"
"11","BROL","Brassica oleracea","Forb/herb","Dicot"
"12","CASA27","Castanea sativa","Tree","Dicot"
"13","CEME","Ceanothus megacarpus","Shrub","Dicot"
"14","CIAR5","Cicer arietinum","Forb/herb","Dicot"
"15","CISA","Cistus salviifolius","Subshrub, Shrub","Dicot"
"16","CISI3","Citrus Ã—sinensis","Shrub, Tree","Dicot"
"17","CLSA","Claoxylon sandwicense","Tree, Shrub","Dicot"
"18","COES","Colocasia esculenta","Forb/herb","Monocot"
"19","CUSA4","Cucumis sativus","Vine, Forb/herb","Dicot"
"20","ENFA","Encelia farinosa","Subshrub, Shrub","Dicot"
"21","EUGR12","Eucalyptus grandis","Tree","Dicot"
"22","EUPA20","Eucalyptus pauciflora","","Dicot"
"23","FIOB","Ficus obtusifolia","Tree, Shrub","Dicot"
"24","FLBR","Flindersia brayleyana","Tree","Dicot"
"25","FRPE","Fraxinus pennsylvanica","Tree","Dicot"
"26","GLMA4","Glycine max","Forb/herb","Dicot"
"27","GOBA","Gossypium barbadense","Tree, Subshrub, Shrub","Dicot"
"28","GOHI","Gossypium hirsutum","Tree, Subshrub, Shrub","Dicot"
"29","HEAN3","Helianthus annuus","Forb/herb","Dicot"
"30","HEPE","Helianthus petiolaris","Forb/herb","Dicot"
"31","HEAR5","Heteromeles arbutifolia","Tree, Shrub","Dicot"
"32","HOMUG","Hordeum murinum ssp. glaucum","Graminoid","Monocot"
"33","JUNI","Juglans nigra","Tree","Dicot"
"34","LASA3","Lactuca sativa","Forb/herb","Dicot"
"35","LIST2","Liquidambar styraciflua","Tree","Dicot"
"36","LOPE","Lolium perenne","Graminoid","Monocot"
"37","MALUS","Malus","","Dicot"
"38","MAES","Manihot esculenta","Subshrub, Shrub, Forb/herb, Tree","Dicot"
"39","NEOL","Nerium oleander","Tree, Shrub","Dicot"
"40","NITA","Nicotiana tabacum","Forb/herb","Dicot"
"41","NYAQ2","Nyssa aquatica","Tree","Dicot"
"42","ORSA","Oryza sativa","Graminoid","Monocot"
"43","PATE11","Pachysandra terminalis","Subshrub, Forb/herb","Dicot"
"44","IPNI","Ipomoea nil","Vine, Forb/herb","Dicot"
"45","PHLA2","Pharus latifolius","Graminoid","Monocot"
"46","PHAC","Phaseolus acutifolius","Vine, Forb/herb","Dicot"
"47","PHVU","Phaseolus vulgaris","Vine, Forb/herb","Dicot"
"48","PIAB","Picea abies","Tree","Gymnosperm"
"49","PIEN","Picea engelmannii","Tree","Gymnosperm"
"50","PIRU","Picea rubens","Tree","Gymnosperm"
"51","PISY","Pinus sylvestris","Tree","Gymnosperm"
"52","PITA","Pinus taeda","Tree","Gymnosperm"
"53","PIAU","Piper auritum","Tree","Dicot"
"54","PIHI2","Piper hispidum","Shrub","Dicot"
"55","PLMA3","Plantago maritima","Forb/herb","Dicot"
"56","PODE3","Populus deltoides","Tree","Dicot"
"57","POCA19","Populus euramericana","Tree","Dicot"
"58","POGR4","Populus grandidentata","Tree","Dicot"
"59","POTR5","Populus tremuloides","Tree","Dicot"
"60","PRCE","Prunus cerasus","Tree, Shrub","Dicot"
"61","PRPE3","Prunus persica","Tree","Dicot"
"62","QUAL","Quercus alba","Tree","Dicot"
"63","QURU","Quercus rubra","Tree","Dicot"
"64","QUST","Quercus stellata","Tree","Dicot"
"65","RASA2","Raphanus sativus","Forb/herb","Dicot"
"66","RICO3","Ricinus communis","Tree, Shrub, Subshrub, Forb/herb","Dicot"
"67","SALIX","Salix","","Dicot"
"68","SCAC2","Schefflera actinophylla","Tree","Dicot"
"69","SCAM6","Schoenoplectus americanus","Graminoid","Monocot"
"70","SCDE","Scrophularia desertorum","Forb/herb","Dicot"
"71","SEVU","Senecio vulgaris","Forb/herb","Dicot"
"72","SICH","Simmondsia chinensis","Shrub","Dicot"
"73","SOTU","Solanum tuberosum","Subshrub, Forb/herb","Dicot"
"74","SPOL","Spinacia oleracea","Forb/herb","Dicot"
"75","TARO","Tabebuia rosea","Tree","Dicot"
"76","TOCIA","Toona ciliata ssp. ciliata var. australis","Tree","Dicot"
"77","TRAE","Triticum aestivum","Graminoid","Monocot"
"78","VACO","Vaccinium corymbosum","Shrub","Dicot"
"79","VADA","Vaccinium darrowii","Subshrub, Shrub","Dicot"
"80","VIFA","Vicia faba","Vine, Forb/herb","Dicot"
"81","VIUN","Vigna unguiculata","Vine, Forb/herb","Dicot"
"82","XAST","Xanthium strumarium","Forb/herb","Dicot"
"83","ERRO8","Eremalche rotundifolia","Subshrub, Forb/herb","Dicot"
"84","OLEU","Olea europaea","Tree, Shrub","Dicot"
"85","BEVU2","Beta vulgaris","Forb/herb","Dicot"
"86","BRNA","Brassica napus","Forb/herb","Dicot"
"87","CAAN4","Capsicum annuum","Subshrub, Forb/herb","Dicot"
"88","CHAL7","Chenopodium album","Forb/herb","Dicot"
"89","CISI3","Citrus xsinensis","Shrub, Tree","Dicot"
"90","FASY","Fagus sylvatica","Tree","Dicot"
"91","SCPH","Schedonorus phoenix","Graminoid","Monocot"
"92","HEPE","Helianthus petioaris","Forb/herb","Dicot"
"93","HOMUG","Hordeum minimum ssp. glaucum","Graminoid","Monocot"
"94","LATR2","Larrea tridentata","Shrub","Dicot"
"95","SOLYL","Solanum lycopersicum var. lycopersicum","Forb/herb","Dicot"
"96","IPNI","Ipomea nil","Vine, Forb/herb","Dicot"
"97","POCA19","Populus xcanadensis","Tree","Dicot"
"98","POFR2","Populus fremontii","Tree","Dicot"
"99","TOCIA","Toona ciliata spp. ciliata var. australis","Tree","Dicot"
"100","TRRE3","Trifolium repens","Forb/herb","Dicot"
"101","VIVI5","Vitus vinifera","Vine, Shrub","Dicot"
"102","VIVI5","Vitis vinifera","Vine, Shrub","Dicot"
